member_code,first_name,last_name,nickname,email,phone_number,birthdate,total_point,province,branch1,branch2
OKJ001, Pawitra, Komkai, Pun, pawitra.p@gmail.com,08-9794-4671, 1999-01-17,34,Bangkok,16,9
OKJ002, Kanoknuch, Sanlerd, Tonhom, kanoknuch.k@gmail.com,06-8453-1460, 1989-07-05,77,Chonburi,23,26
OKJ003, Rat, Krajangwong, Kloy, rat.r@gmail.com,06-2180-3822, 1998-06-06,50,Bangkok,22,13
OKJ004, Anon, Siripachasab, Phu, anon.a@gmail.com,08-4607-5409, 1999-09-06,44,Chonburi,25,26
OKJ005, Bunyapu, Tanachokwanich, Art, bunyapu.b@gmail.com,06-8528-8680, 2004-09-10,90,Bangkok,6,17
OKJ006, Janwipa, Sabma, Tonhom, janwipa.j@gmail.com,06-1482-7369, 1996-02-27,62,Bangkok,14,16
OKJ007, Thanyaporn, Pipattanakul, Pim, thanyaporn.t@gmail.com,06-9387-4460, 2002-03-11,8,Chiangmai,2,2
OKJ008, Tiraput, Preedasirikul, Pab, tiraput.t@gmail.com,08-2088-8908, 1998-09-17,54,Bangkok,3,8
OKJ009, Nantiya, Pleumpiti, Minnie, nantiya.n@gmail.com,08-7314-7794, 1993-09-17,39,Chiangmai,1,1
OKJ010, Chanoknan, Tanomjit, Neya, chanoknan.c@gmail.com,08-2673-3633, 1999-12-16,35,Bangkok,21,7
OKJ011, Sorat, Samransub, Chalam, sorat.s@gmail.com,06-8790-8940, 1983-05-03,113,Bangkok,10,6
OKJ012, Nareeya, Wichienchan, Min, nareeya.n@gmail.com,08-5011-2479, 1999-10-18,108,Bangkok,21,12
OKJ013, Janat, Janmanee, Pich, janat.j@gmail.com,08-6716-5384, 1987-04-24,67,Bangkok,3,15
OKJ014, Pongkiat, Tadaworawong, Chalam, pongkiat.p@gmail.com,08-6626-1874, 2005-11-23,115,Bangkok,11,19
OKJ015, Saran, Sali, Son, saran.s@gmail.com,08-9465-4615, 2000-08-16,10,Bangkok,18,20
OKJ016, Chat, Preedaangkarakul, Win, chat.c@gmail.com,08-5432-2044, 1998-11-04,25,Chiangmai,2,1
OKJ017, Anankorn, Rattanaatid, Tang, anankorn.a@gmail.com,08-6169-4500, 2004-01-24,73,Bangkok,9,7
OKJ018, Tewika, Kajornsakkosol, Mod, tewika.t@gmail.com,06-9831-0025, 2004-03-05,102,Chiangmai,1,1
OKJ019, Pitipong, Boonthep, Ryo, pitipong.p@gmail.com,06-1697-0214, 1988-09-02,23,Chiangmai,1,2
OKJ020, Chontima, Achachai, Nana, chontima.c@gmail.com,08-2059-6740, 1991-03-03,35,Bangkok,4,5
